Date,Open,High,Low,Close,Adj Close,Volume
2019-07-12,10.199999809265137,10.899999618530273,10.199999809265137,10.5,10.5,4080
2019-07-15,10.5,10.899999618530273,10.5,10.600000381469727,10.600000381469727,730
2019-07-16,10.699999809265137,10.699999809265137,10.600000381469727,10.600000381469727,10.600000381469727,120
2019-07-17,10.699999809265137,10.699999809265137,10.300000190734863,10.300000190734863,10.300000190734863,1270
2019-07-18,10.300000190734863,10.699999809265137,10.300000190734863,10.5,10.5,1090
2019-07-19,10.5,10.5,10.300000190734863,10.5,10.5,920
2019-07-22,10.399999618530273,10.600000381469727,10.100000381469727,10.100000381469727,10.100000381469727,400
2019-07-23,10.199999809265137,10.800000190734863,10.199999809265137,10.5,10.5,2960
2019-07-24,10.399999618530273,10.899999618530273,10.199999809265137,10.699999809265137,10.699999809265137,4690
2019-07-25,10.600000381469727,10.600000381469727,10.399999618530273,10.600000381469727,10.600000381469727,370
2019-07-26,10.399999618530273,10.899999618530273,10.399999618530273,10.800000190734863,10.800000190734863,910
2019-07-29,10.699999809265137,10.699999809265137,10.399999618530273,10.399999618530273,10.399999618530273,910
2019-07-30,10.5,10.899999618530273,10.5,10.800000190734863,10.800000190734863,890
2019-07-31,10.699999809265137,11.0,10.5,10.5,10.5,1390
2019-08-01,10.600000381469727,11.5,10.600000381469727,11.0,11.0,1020
2019-08-02,10.899999618530273,11.199999809265137,10.699999809265137,11.0,11.0,1150
2019-08-05,10.899999618530273,11.399999618530273,10.699999809265137,11.100000381469727,11.100000381469727,790
2019-08-06,11.199999809265137,11.5,10.899999618530273,11.5,11.5,430
2019-08-07,11.199999809265137,11.5,10.899999618530273,11.5,11.5,600
2019-08-08,11.399999618530273,11.699999809265137,11.199999809265137,11.199999809265137,11.199999809265137,1290
2019-08-09,11.0,11.0,9.800000190734863,10.100000381469727,10.100000381469727,9630
2019-08-12,10.100000381469727,10.199999809265137,10.0,10.199999809265137,10.199999809265137,4110
2019-08-13,10.100000381469727,10.300000190734863,9.699999809265137,10.300000190734863,10.300000190734863,8780
2019-08-14,10.300000190734863,10.5,10.100000381469727,10.399999618530273,10.399999618530273,5480
2019-08-15,10.399999618530273,10.800000190734863,10.100000381469727,10.600000381469727,10.600000381469727,2490
2019-08-16,10.399999618530273,11.0,10.199999809265137,10.300000190734863,10.300000190734863,4970
2019-08-19,10.899999618530273,11.600000381469727,10.899999618530273,11.300000190734863,11.300000190734863,5070
2019-08-20,11.199999809265137,11.199999809265137,11.0,11.0,11.0,410
2019-08-21,11.199999809265137,11.399999618530273,11.100000381469727,11.399999618530273,11.399999618530273,1810
2019-08-22,11.0,12.0,10.899999618530273,11.600000381469727,11.600000381469727,1970
2019-08-23,11.5,12.5,11.5,12.199999809265137,12.199999809265137,4440
2019-08-26,12.300000190734863,12.5,12.199999809265137,12.300000190734863,12.300000190734863,2160
2019-08-27,12.5,12.5,11.399999618530273,11.899999618530273,11.899999618530273,1510
2019-08-28,12.0,12.100000381469727,11.5,11.899999618530273,11.899999618530273,1110
2019-08-29,12.0,12.899999618530273,12.0,12.199999809265137,12.199999809265137,11720
2019-08-30,12.800000190734863,12.800000190734863,12.5,12.5,12.5,280
2019-09-03,12.600000381469727,12.699999809265137,12.0,12.600000381469727,12.600000381469727,2900
2019-09-04,12.300000190734863,12.5,12.0,12.0,12.0,2110
2019-09-05,12.0,12.800000190734863,12.0,12.800000190734863,12.800000190734863,1810
2019-09-06,12.699999809265137,13.899999618530273,12.399999618530273,13.899999618530273,13.899999618530273,4080
2019-09-09,13.899999618530273,14.0,13.100000381469727,13.100000381469727,13.100000381469727,2250
2019-09-10,13.300000190734863,14.199999809265137,13.0,13.300000190734863,13.300000190734863,3740
2019-09-11,13.5,13.699999809265137,13.100000381469727,13.699999809265137,13.699999809265137,1970
2019-09-12,13.600000381469727,14.199999809265137,13.600000381469727,14.199999809265137,14.199999809265137,3250
2019-09-13,14.600000381469727,14.699999809265137,13.100000381469727,14.699999809265137,14.699999809265137,7160
2019-09-16,14.699999809265137,14.699999809265137,13.899999618530273,14.600000381469727,14.600000381469727,4840
2019-09-17,14.600000381469727,14.899999618530273,13.800000190734863,13.800000190734863,13.800000190734863,4680
2019-09-18,13.899999618530273,14.0,13.800000190734863,14.0,14.0,3080
2019-09-19,14.0,14.600000381469727,13.399999618530273,14.600000381469727,14.600000381469727,2500
2019-09-20,14.600000381469727,14.699999809265137,12.899999618530273,14.399999618530273,14.399999618530273,5450
2019-09-23,14.300000190734863,14.300000190734863,13.800000190734863,14.0,14.0,1850
2019-09-24,13.800000190734863,14.600000381469727,13.699999809265137,13.800000190734863,13.800000190734863,1110
2019-09-25,13.800000190734863,13.800000190734863,13.5,13.5,13.5,560
2019-09-26,13.600000381469727,13.800000190734863,12.899999618530273,13.800000190734863,13.800000190734863,760
2019-09-27,13.300000190734863,13.899999618530273,13.0,13.0,13.0,1760
2019-09-30,12.899999618530273,13.5,12.800000190734863,13.100000381469727,13.100000381469727,680
2019-10-01,13.100000381469727,14.0,12.5,13.399999618530273,13.399999618530273,2190
2019-10-02,13.5,13.800000190734863,12.899999618530273,12.899999618530273,12.899999618530273,500
2019-10-03,13.0,13.600000381469727,12.399999618530273,13.0,13.0,1950
2019-10-04,13.0,13.0,12.800000190734863,12.800000190734863,12.800000190734863,940
2019-10-07,12.699999809265137,12.699999809265137,12.0,12.0,12.0,2020
2019-10-08,12.0,12.399999618530273,12.0,12.399999618530273,12.399999618530273,500
2019-10-09,12.399999618530273,12.399999618530273,12.300000190734863,12.300000190734863,12.300000190734863,260
2019-10-10,12.399999618530273,12.5,12.199999809265137,12.199999809265137,12.199999809265137,250
2019-10-11,12.199999809265137,12.300000190734863,11.5,11.899999618530273,11.899999618530273,2390
2019-10-14,12.0,12.0,11.800000190734863,11.899999618530273,11.899999618530273,220
2019-10-15,11.899999618530273,12.5,11.899999618530273,12.199999809265137,12.199999809265137,1660
2019-10-16,12.199999809265137,12.199999809265137,12.0,12.0,12.0,130
2019-10-17,11.899999618530273,11.899999618530273,11.0,11.0,11.0,3600
2019-10-18,11.100000381469727,12.100000381469727,11.100000381469727,11.899999618530273,11.899999618530273,5070
2019-10-21,11.600000381469727,12.0,11.300000190734863,11.300000190734863,11.300000190734863,1210
2019-10-22,11.399999618530273,11.899999618530273,11.199999809265137,11.600000381469727,11.600000381469727,1730
2019-10-23,11.100000381469727,11.800000190734863,11.100000381469727,11.699999809265137,11.699999809265137,350
2019-10-24,11.600000381469727,11.699999809265137,11.300000190734863,11.300000190734863,11.300000190734863,1010
2019-10-25,12.0,12.0,11.0,11.899999618530273,11.899999618530273,3780
2019-10-28,11.899999618530273,12.199999809265137,11.800000190734863,11.800000190734863,11.800000190734863,940
2019-10-29,11.699999809265137,12.300000190734863,11.699999809265137,11.800000190734863,11.800000190734863,410
2019-10-30,12.0,12.0,11.699999809265137,11.899999618530273,11.899999618530273,1180
2019-10-31,11.600000381469727,12.399999618530273,11.5,11.899999618530273,11.899999618530273,1820
2019-11-01,11.899999618530273,11.899999618530273,11.899999618530273,11.899999618530273,11.899999618530273,170
2019-11-04,12.0,12.0,11.5,11.699999809265137,11.699999809265137,1030
